# Indicative EV / normalised EBITDA multiple ranges for Singapore SME transactions.
# Orientation only, not a measured dataset and not a valuation.
# Source: https://www.singaporebusinessbroker.com/data/sme-multiples-singapore
sector,low_multiple,high_multiple,basis
"F&B (restaurants, cafes, central kitchen)",2.5,4,"Indicative ranges"
"Logistics and freight",3.5,5.5,"Indicative ranges"
"Manufacturing and engineering",4,6,"Indicative ranges"
"Education and enrichment",4,6.5,"Indicative ranges"
"Healthcare and clinics",5,8,"Indicative ranges"
"IT services and software",5,9,"Indicative ranges"
"Construction and M&E",2.5,4,"Indicative ranges"
"Trading and distribution",3,5,"Indicative ranges"
"Retail",2.5,4,"Indicative ranges"
"Cleaning, security, facilities",3,5,"Indicative ranges"
"Marine and offshore",3,5,"Indicative ranges"
"Professional services",3.5,5.5,"Indicative ranges"
"E-commerce",3,6,"Indicative ranges"
"Printing and packaging",3,4.5,"Indicative ranges"
"Beauty and wellness",2.5,4.5,"Indicative ranges"
"Childcare and preschool",5,8,"Indicative ranges"
"Interior and renovation",2.5,4,"Indicative ranges"
"Automotive",3,4.5,"Indicative ranges"
"Events and media",2.5,4.5,"Indicative ranges"
"Other",3,5,"Indicative ranges"
